name,popularity
Mugachi Usal Recipe -Spicy Moong Sprouted Sabzi,"[<span id=""recipenumvotes"">8837 ratings.</span>]"
Tawa Mushroom Recipe,"[<span id=""recipenumvotes"">4114 ratings.</span>]"
Andhra Style Allam Pachadi (Ginger Chutney Recipe),"[<span id=""recipenumvotes"">15168 ratings.</span>]"
Lemon Oats Recipe,"[<span id=""recipenumvotes"">3531 ratings.</span>]"
Coriander Chicken Roast Recipe,"[<span id=""recipenumvotes"">1717 ratings.</span>]"
Restaurant Style Chicken 555 Recipe,700
Thandu Keerai Puli Kuzhambu Recipe - Amaranth Greens in Tangy Curry,700
Muttaikose Poriyal Recipe -  Purple Cabbage Poriyal | Red Cabbage Sabzi,700
Nellor Kathirikai - Nellor Brinjal Fry Recipe,700
Yeruvalli Kuzhambu Recipe | Iru Puli Kuzhambu | Tangy Coconut Curry,700
Instant Khaman Dhokla Recipe,700
Rajgira Paneer Paratha Recipe (Navratri Fasting/Vrat Recipe),700
Gajar Methi Poriyal Recipe - Carrot Fenugreek Stir Fry,"[<span id=""recipenumvotes"">546 ratings.</span>]"
Sprouted Moong Dal Recipe - Spicy Sprouted Lentil Curry,700
Andhra Style Vendakaya Charu Recipe - Ladies Finger Rasam,700
Gujarati Methi Na Dhebra Recipe,"[<span id=""recipenumvotes"">14396 ratings.</span>]"
Kashmiri Style Apple Tamatar Sabzi Recipe - No Onion No Garlic,700
Upvaas Thalipeeth Recipe,700
Gujarati Undhiyu Recipe - Mixed Vegetable With Fenugreek Dumplings,700
Saragva Nu Shaak Recipe-Drumstick Masala Sabzi,700
Bengali Aloo Dum Recipe,700
Kali Mirch Singhare Ki Sabzi Recipe,700
Chole Biryani Recipe - Spicy Chana Biryani  Recipe,"[<span id=""recipenumvotes"">4708 ratings.</span>]"
Mulakootal (Vegetables In Coconut Gravy) Recipe,"[<span id=""recipenumvotes"">1547 ratings.</span>]"
Doli Ki Roti Recipe | Classic Sourdough Bread Recipe from Multan,700
Kashmiri Kesar Pulao - Saffron Fennel Rice Recipe,"[<span id=""recipenumvotes"">1142 ratings.</span>]"
Healthy Fulkopir Paturi Recipe (Bengali Style Cauliflower Dumplings),"[<span id=""recipenumvotes"">983 ratings.</span>]"
Lauki Yakhni Recipe - Bottle Gourd In Yogurt Gravy,700
Malai Kofta Curry Recipe - Creamy and Healthy Paneer Aloo Kofta Curry,700
Raw Papitha No Sambharo Recipe,"[<span id=""recipenumvotes"">4081 ratings.</span>]"
Milagu Sadam Recipe (Instant Pepper Rice),"[<span id=""recipenumvotes"">12753 ratings.</span>]"
Dill Leaves Toor Dal Recipe - Shepu/ Suva Dal recipe,"[<span id=""recipenumvotes"">6795 ratings.</span>]"
Restaurant Style Chettinad Style Fish Curry Recipe,"[<span id=""recipenumvotes"">2988 ratings.</span>]"
Pumpkin Kofta Curry Recipe,"[<span id=""recipenumvotes"">2148 ratings.</span>]"
Mavinakayi Chitranna Recipe - Spiced Raw Mango Tempered Rice,"[<span id=""recipenumvotes"">11706 ratings.</span>]"
Baale Dindu Kadale Palya - Banana Stem Curry With Chickpeas Recipe,700
Karnataka Style Kadle Kaalu Saru Recipe (Black Chickpea Curry Recipe),700
Kashmiri Style Modur Pulao With Pomegranate Recipe,700
Amritsari Sookhi Dal Recipe,"[<span id=""recipenumvotes"">1368 ratings.</span>]"
Agathi Keerai Recipe,"[<span id=""recipenumvotes"">4522 ratings.</span>]"
Maa Ki Dal Recipe - Punjabi Style Black Urad Dal Recipe,700
Thotakura Pappu Recipe (Toor Dal with Amaranth Leaves),700
Stuffed Bharwa Tinda Recipe (Stuffed Apple Gourd),"[<span id=""recipenumvotes"">6639 ratings.</span>]"
Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,"[<span id=""recipenumvotes"">833 ratings.</span>]"
Punjabi Black Chickpea Curry Recipe - Kale Chane Ki Sabzi,"[<span id=""recipenumvotes"">16954 ratings.</span>]"
Lal Mathachi Bhaji Recipe - Amaranth Leaves Moong Sprouts Sabzi,"[<span id=""recipenumvotes"">4206 ratings.</span>]"
Punjabi Garam Masala Powder Recipe,700
Jackfruit Seed Korma Recipe,"[<span id=""recipenumvotes"">829 ratings.</span>]"
Calicut Payyoli Chicken Fry Recipe,"[<span id=""recipenumvotes"">2889 ratings.</span>]"
Sindhi Kadhi Recipe,"[<span id=""recipenumvotes"">10099 ratings.</span>]"
Oriya Style Ghanta Tarkari Recipe (Mixed Vegetables Curry),700
Mambazha Mor Kuzhambu Recipe - Ripe Mango Mor Kuzhambu,700
Maharashtrian Masale Baath Recipe - Spicy Vegetable Rice with Goda Masala,"[<span id=""recipenumvotes"">4143 ratings.</span>]"
Aam Chunda Pickle Recipe - Gujarati Mango Chunda Recipe,700
Tuna Rasam Bhaji Recipe (Tuna Sabzi Flavoured With Rasam Powder),"[<span id=""recipenumvotes"">688 ratings.</span>]"
Methi Aur Kache Kele Ki Sabzi Recipe-Fenugreek Greens & Raw Banana Stir Fry,"[<span id=""recipenumvotes"">1139 ratings.</span>]"
Ridge Gourd Pachadi Recipe - Ridge Gourd Chutney,700
