index,word
0,according
1,adjust
2,ajwain
3,aloo
4,amchur
5,anise
6,arhar
7,asafoetida
8,badi
9,baingan
10,banana
11,bay
12,beans
13,bell
14,bengal
15,besan
16,bhindi
17,black
18,brinjal
19,broken
20,bunch
21,butter
22,button
23,capsicum
24,cardamom
25,carom
26,carrot
27,carrots
28,cashew
29,cauliflower
30,chana
31,cheese
32,chicken
33,chilli
34,chillies
35,cinnamon
36,cleaned
37,cloves
38,coconut
39,cook
40,cooked
41,coriander
42,cottage
43,cream
44,crushed
45,cubes
46,cumin
47,curd
48,curry
49,cut
50,dahi
51,dal
52,dalchini
53,dhania
54,dough
55,dried
56,dry
57,eggplant
58,eggs
59,elaichi
60,fennel
61,fenugreek
62,fingerokra
63,fish
64,florets
65,flour
66,french
67,fresh
68,frying
69,gajjar
70,garam
71,garlic
72,garnish
73,ghee
74,gingelly
75,ginger
76,gobi
77,gourd
78,gram
79,gravy
80,green
81,grind
82,ground
83,haldi
84,hing
85,homemade
86,hot
87,ingredients
88,jaggery
89,jeera
90,juice
91,kaddu
92,kadugu
93,kala
94,kashmiri
95,kasuri
96,lady
97,large
98,laung
99,leaf
100,leaves
101,lemon
102,mango
103,masala
104,mashed
105,matar
106,medium
107,methi
108,milk
109,mint
110,minutes
111,mixed
112,moong
113,moongphali
114,mushrooms
115,mustard
116,mutton
117,needed
118,nuts
119,oil
120,onion
121,onions
122,palak
123,panch
124,paneer
125,parangikai
126,paste
127,patta
128,peanuts
129,pearl
130,peas
131,peeled
132,peerkangai
133,pepper
134,peppercorns
135,phoran
136,pieces
137,podsseeds
138,poppy
139,potato
140,potatoes
141,pudina
142,pumpkin
143,puree
144,rai
145,raw
146,required
147,rice
148,ridge
149,roast
150,roasted
151,salted
152,sambar
153,saunf
154,seasoning
155,seeds
156,sesame
157,shallots
158,sized
159,sliced
160,slit
161,small
162,soaked
163,spice
164,spinach
165,split
166,sprig
167,star
168,stick
169,stuffing
170,sugar
171,tadka
172,tamarind
173,taste
174,tej
175,tempering
176,thinly
177,til
178,tomato
179,tomatoes
180,toor
181,torn
182,turai
183,turmeric
184,urad
185,washed
186,water
187,wedges
188,wheat
189,white
190,yellow
191,yogurt
