index,word
0,absolutely
1,accompaniment
2,add
3,added
4,addition
5,adds
6,aloo
7,andhra
8,aromatic
9,authentic
10,available
11,banana
12,base
13,based
14,beans
15,benefits
16,bengali
17,best
18,biryani
19,black
20,blend
21,body
22,boiled
23,box
24,bread
25,breakfast
26,brings
27,called
28,chana
29,chettinad
30,chicken
31,chillies
32,choice
33,chutney
34,classic
35,coconut
36,combination
37,combined
38,comforting
39,cook
40,cooked
41,cooking
42,coriander
43,course
44,creamy
45,crispy
46,cuisine
47,cumin
48,curry
49,dal
50,day
51,days
52,delectable
53,delicious
54,different
55,dinner
56,dish
57,dishes
58,dry
59,easy
60,eaten
61,egg
62,essentially
63,everyday
64,extremely
65,famous
66,festival
67,filling
68,fish
69,flavor
70,flavored
71,flavors
72,flavour
73,flavoured
74,flavourful
75,flavours
76,flour
77,food
78,fresh
79,freshly
80,fried
81,fry
82,frying
83,garam
84,garlic
85,ghee
86,ginger
87,gives
88,goan
89,goes
90,good
91,gourd
92,gram
93,grated
94,gravy
95,great
96,green
97,greens
98,ground
99,guests
100,health
101,healthy
102,high
103,home
104,hot
105,households
106,huli
107,india
108,indian
109,ingredient
110,ingredients
111,instead
112,juice
113,just
114,karnataka
115,kerala
116,ki
117,kids
118,known
119,koora
120,kuzhambu
121,leaves
122,lemon
123,lentil
124,lentils
125,like
126,lot
127,lots
128,love
129,lovely
130,lunch
131,main
132,make
133,makes
134,making
135,mangalorean
136,masala
137,masoor
138,meal
139,mildly
140,milk
141,minerals
142,mix
143,mixed
144,moong
145,mushroom
146,mushrooms
147,mustard
148,nadu
149,north
150,nutrients
151,nutritious
152,oil
153,onion
154,onions
155,pack
156,packed
157,pan
158,paneer
159,paratha
160,parathas
161,paste
162,peanuts
163,peas
164,people
165,pepper
166,perfect
167,phulkas
168,plain
169,popular
170,pot
171,potato
172,potatoes
173,powder
174,preparation
175,prepare
176,prepared
177,protein
178,pumpkin
179,punjabi
180,puris
181,quick
182,rasam
183,raw
184,really
185,recipe
186,recipes
187,red
188,region
189,regular
190,rice
191,rich
192,ridge
193,roasted
194,roti
195,rotis
196,sabzi
197,sambar
198,season
199,seeds
200,serve
201,served
202,shallow
203,simmered
204,simple
205,soft
206,source
207,south
208,special
209,spice
210,spiced
211,spices
212,spicy
213,spinach
214,steamed
215,stir
216,stuffed
217,style
218,sweet
219,tadka
220,tamarind
221,tamil
222,tangy
223,taste
224,tastes
225,tasty
226,tempered
227,texture
228,time
229,tomato
230,tomatoes
231,toor
232,tossed
233,traditional
234,traditionally
235,try
236,unique
237,use
238,used
239,uses
240,using
241,usually
242,variation
243,vegetable
244,vegetables
245,vegetarian
246,version
247,vitamin
248,vitamins
249,weekend
250,weeknight
251,wheat
252,wholesome
253,wonderful
254,yellow
255,yogurt
