name,popularity
Doddapatre Tambuli Recipe (Karpooravalli Thayir Pachadi), 15455
Fish Tandoori Recipe, 2159
Arbi Shimla Mirch Sabzi Recipe – Colocasia Capsicum Sabzi, 2427
Cabbage And Carrot Thoran Recipe, 4879
Chicken Sholay Kebab Recipe, 6919
Dim Posto Recipe - Bengali Egg Curry With Poppy Seeds, 7756
Hyderabadi Shahi Mixed Vegetable Curry Recipe, 7056
Kashmiri Kokur T Nadir Recipe-Chicken and Lotus Stem Curry, 950
Punjabi Style Lobia Masala Recipe (Black Eyed Peas Masala), 2410
Konkani Style Vali Bendi Recipe-Malabar Spinach Curry, 2682
Cabbage & Buttermilk Curry Recipe, 1495
Mulakootal Recipe (Vegetables In Coconut Gravy), 1798
Karwar Style Valval Recipe (Mixed Vegetables In Coconut Milk), 1588
Spicy Baby Potatoes Recipe, 64532
Karnataka Style Beetroot Palya Recipe, 13592
Whole Wheat Lachha Paratha Recipe-Multilayered Layered Indian Flat Bread, 10327
Baked Amritsari Kulcha Recipe (Without Yeast), 5813
Goan Style Mushroom Shagoti Recipe, 2917
Amritsari Fish Gravy Recipe, 13278
Udupi Style Ash Gourd Coconut Curry Recipe, 18163
Goan Style Patol Bhaji Recipe- Green peas Curry Recipe, 6127
Chettinad Sura Meen Kuzhambu Recipe (Shark Fish Curry), 15049
Masala Vada Curry Recipe - Chana Dal Vada Curry Recipe, 11054
Paneer Gassi Recipe, 1927
Veg Mughlai Paratha Recipe, 10377
Goan Style Mushroom Vindaloo Recipe, 3950
Andhra Style Davva Aava koora Recipe (Sweet and Spicy Banana Stem Peanut Curry Recipe), 2614
Chettinad Rasam Powder Recipe, 5029
Bhaat Na Rasawala Muthia Dhokla Recipe | Gujarati Rasiya Dhokla, 3267
Stuffed Mooli Paratha Recipe (Radish Flat Bread), 4038
Paneer Tikka Pulao Recipe, 3670
Chettinad Style Pepper Mushroom Recipe, 7655
Roasted Eggplant And Chickpea Curry Flavored With Curry Leaves And Mustard Seeds, 1085
Omakka Curry Recipe - Kerala Style Papaya Curry, 7625
Urulaizhilangu Podimas (South Indian Style Potato Mash), 985
Olya Kaju Chi Amti Recipe - Malvani Cashew Nut Curry, 1994
Rajma Saagwala (Dry Kidney Beans And Spinach Stir Fry) Recipe, 2425
Raw Banana and Banana Stem Stuffed Paratha Recipe, 792
Chicken Kappa Biryani Recipe, 3204
Kodava Kummu Curry Recipe- Coorg Style Mushroom Curry, 4534
Stuffed Gilka Recipe (Maharashtrian Style Stuffed Silk Squash), 1517
Dubki Wale Aloo Recipe - Potatoes In A Spicy North Indian Gravy, 4762
Masaledar Moongphali Til Wale Aloo Recipe, 1369
Lagan Ki Machli Recipe - Delicious Pomfret Curry, 1987
Tamatar Wali Arbi Sabzi Recipe, 1604
Goan Bimbla Uddamethi Recipe, 1927
Chettinad Style Prawn Biryani Recipe, 7826
Chicken Wings With Bhuna Masala Recipe, 2108
