word,postings
doddapatre,"[(0, 3)]"
tambuli,"[(0, 3), (130, 2)]"
recipe,"[(0, 1), (1, 2), (2, 1), (3, 2), (4, 2), (6, 2), (8, 2), (9, 1), (10, 2), (11, 2), (12, 1), (14, 1), (15, 2), (17, 1), (19, 1), (20, 1), (22, 1), (23, 1), (24, 1), (25, 3), (26, 2), (27, 2), (29, 2), (31, 1), (32, 1), (34, 2), (35, 2), (37, 2), (38, 2), (39, 2), (41, 2), (43, 1), (44, 2), (46, 1), (47, 1), (48, 3), (49, 3), (50, 1), (51, 2), (52, 1), (53, 1), (55, 2), (56, 3), (58, 3), (59, 2), (60, 1), (61, 1), (64, 1), (65, 1), (66, 1), (67, 2), (69, 1), (70, 2), (71, 1), (73, 3), (74, 1), (76, 1), (77, 1), (78, 1), (79, 1), (81, 1), (82, 2), (83, 1), (84, 1), (85, 3), (87, 2), (88, 1), (89, 4), (90, 2), (91, 3), (92, 1), (93, 2), (94, 1), (96, 1), (97, 5), (98, 3), (100, 2), (101, 1), (102, 1), (104, 2), (105, 2), (109, 2), (110, 1), (111, 3), (112, 1), (113, 2), (114, 4), (117, 1), (119, 3), (120, 3), (121, 1), (122, 2), (123, 4), (124, 1), (127, 1), (128, 1), (129, 1), (130, 1), (131, 2), (132, 1), (133, 2), (134, 2), (135, 2), (136, 1), (138, 2), (139, 2), (141, 1), (143, 1), (145, 1), (146, 1), (148, 3), (149, 1), (150, 2), (151, 3), (152, 2), (153, 1), (154, 2), (156, 2), (157, 2), (158, 1), (161, 2), (162, 2), (163, 1), (164, 1), (165, 2), (166, 1), (167, 1), (168, 1), (169, 1), (170, 2), (172, 1), (176, 1), (179, 2), (180, 1), (181, 3), (182, 1), (184, 1), (185, 1), (186, 2), (187, 2), (189, 1), (190, 1), (191, 8), (192, 3), (193, 1), (194, 1), (195, 1), (197, 3), (198, 1), (199, 3), (200, 1), (201, 1)]"
is,"[(0, 5), (1, 3), (2, 2), (3, 2), (4, 4), (5, 3), (6, 2), (7, 3), (8, 2), (9, 5), (10, 3), (11, 4), (12, 3), (13, 1), (14, 2), (15, 4), (16, 3), (17, 3), (19, 1), (20, 2), (21, 3), (22, 1), (23, 4), (24, 3), (25, 2), (26, 4), (27, 4), (28, 1), (29, 3), (30, 2), (31, 3), (32, 1), (33, 5), (34, 4), (35, 1), (36, 2), (37, 4), (38, 2), (39, 4), (40, 2), (41, 4), (42, 1), (43, 1), (44, 2), (45, 1), (46, 4), (47, 2), (48, 2), (49, 3), (50, 4), (51, 1), (52, 2), (53, 2), (55, 2), (56, 1), (57, 1), (58, 2), (59, 1), (60, 2), (61, 2), (62, 4), (63, 5), (64, 2), (65, 2), (66, 2), (67, 3), (68, 2), (69, 2), (70, 2), (71, 3), (72, 2), (73, 2), (74, 2), (75, 6), (76, 4), (77, 5), (78, 7), (79, 2), (80, 4), (81, 2), (82, 1), (83, 3), (84, 2), (85, 3), (86, 3), (87, 4), (88, 2), (89, 2), (90, 2), (91, 4), (92, 2), (93, 2), (94, 1), (95, 3), (97, 2), (98, 2), (99, 4), (100, 1), (101, 4), (102, 3), (103, 2), (104, 2), (105, 7), (106, 3), (107, 2), (108, 3), (109, 3), (110, 1), (111, 2), (112, 2), (113, 6), (114, 2), (115, 1), (116, 3), (117, 1), (118, 5), (119, 1), (120, 2), (121, 2), (122, 2), (123, 6), (124, 3), (125, 2), (126, 1), (127, 1), (128, 2), (129, 3), (130, 1), (131, 2), (132, 2), (133, 2), (134, 1), (135, 4), (136, 2), (137, 2), (138, 5), (139, 3), (140, 3), (141, 1), (142, 2), (143, 1), (144, 2), (145, 3), (146, 2), (147, 2), (148, 2), (149, 2), (150, 3), (151, 5), (152, 3), (153, 2), (154, 1), (155, 3), (156, 1), (157, 2), (158, 2), (159, 1), (160, 3), (161, 3), (162, 2), (163, 1), (164, 1), (165, 1), (166, 2), (167, 1), (168, 1), (169, 5), (170, 2), (171, 5), (172, 2), (173, 1), (174, 4), (176, 2), (177, 3), (178, 1), (179, 5), (180, 5), (181, 4), (182, 2), (183, 1), (184, 2), (185, 1), (186, 1), (187, 5), (188, 4), (189, 2), (190, 2), (191, 3), (192, 4), (193, 3), (194, 5), (195, 4), (196, 3), (197, 1), (198, 4), (199, 2), (200, 2), (201, 1)]"
a,"[(0, 8), (2, 1), (3, 2), (4, 2), (5, 2), (6, 3), (7, 1), (8, 3), (9, 1), (11, 4), (12, 2), (14, 1), (15, 3), (16, 5), (17, 4), (18, 3), (19, 3), (20, 1), (21, 2), (22, 2), (23, 3), (24, 2), (25, 2), (26, 1), (27, 4), (28, 2), (29, 1), (30, 2), (31, 6), (32, 3), (33, 1), (34, 5), (35, 4), (36, 3), (37, 5), (38, 2), (39, 1), (40, 1), (41, 4), (42, 2), (43, 2), (44, 3), (45, 1), (46, 4), (47, 2), (48, 2), (49, 3), (50, 2), (51, 2), (52, 2), (53, 2), (54, 6), (55, 1), (56, 2), (57, 2), (58, 3), (60, 2), (61, 3), (62, 1), (63, 5), (64, 3), (65, 2), (66, 4), (67, 2), (68, 1), (69, 2), (70, 2), (71, 3), (72, 2), (73, 2), (74, 2), (75, 3), (76, 3), (77, 2), (78, 2), (79, 1), (80, 3), (81, 2), (82, 1), (83, 1), (84, 2), (85, 4), (86, 2), (87, 7), (88, 4), (89, 1), (91, 3), (93, 6), (94, 1), (95, 4), (96, 3), (97, 3), (98, 1), (99, 1), (100, 2), (101, 3), (102, 2), (103, 5), (104, 2), (105, 4), (106, 1), (107, 2), (109, 2), (110, 1), (111, 2), (112, 1), (113, 2), (114, 3), (115, 2), (116, 1), (117, 2), (118, 4), (119, 1), (120, 1), (122, 2), (123, 1), (124, 2), (125, 1), (126, 2), (127, 2), (128, 1), (129, 2), (130, 3), (132, 1), (133, 2), (134, 3), (135, 3), (136, 3), (137, 2), (138, 3), (139, 1), (140, 5), (141, 1), (143, 1), (144, 2), (145, 2), (147, 2), (148, 2), (149, 3), (150, 3), (151, 2), (152, 2), (153, 3), (154, 2), (155, 1), (156, 1), (157, 9), (158, 2), (159, 1), (161, 2), (162, 3), (163, 4), (164, 4), (165, 3), (166, 1), (167, 1), (168, 2), (169, 1), (170, 1), (171, 3), (172, 3), (173, 1), (174, 1), (175, 1), (176, 2), (177, 3), (178, 1), (179, 5), (180, 2), (181, 4), (182, 3), (183, 1), (184, 3), (185, 1), (186, 4), (187, 2), (188, 1), (189, 1), (190, 1), (191, 4), (192, 3), (193, 1), (194, 4), (195, 1), (196, 3), (197, 4), (198, 2), (199, 2), (200, 1), (201, 1)]"
popular,"[(0, 1), (4, 1), (18, 1), (20, 1), (21, 1), (34, 1), (62, 1), (80, 1), (86, 1), (89, 1), (92, 1), (103, 1), (105, 1), (106, 1), (120, 1), (123, 1), (126, 1), (155, 1), (178, 1), (180, 2), (183, 1), (193, 1)]"
healing,"[(0, 1)]"
nourishing,"[(0, 1)]"
cold,"[(0, 2), (54, 2), (122, 1), (125, 1)]"
yoghurt,"[(0, 2)]"
